epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,946.34,1.1174,0.7894,1.16543,0.93777,0.90524,0.93757,0.58897,1.23702,0.70161,1.15167,0.000603752,0.000603752,0.000603752
72,959.337,1.13545,0.83485,1.19834,0.95394,0.88706,0.9306,0.56931,1.28952,0.72316,1.19458,0.000591963,0.000591963,0.000591963
73,972.504,1.15595,0.79611,1.16279,0.9566,0.88376,0.93534,0.58499,1.26413,0.69573,1.18726,0.000580174,0.000580174,0.000580174
74,985.494,1.16295,0.78075,1.18514,0.9159,0.88799,0.91983,0.56573,1.29088,0.7673,1.21338,0.000568385,0.000568385,0.000568385
75,998.626,1.15409,0.78549,1.17469,0.93655,0.9025,0.93614,0.58309,1.26124,0.69437,1.17781,0.000556595,0.000556595,0.000556595
76,1011.55,1.13924,0.76513,1.17246,0.9377,0.89096,0.93525,0.59713,1.2585,0.71167,1.16292,0.000544806,0.000544806,0.000544806
77,1024.63,1.11984,0.77034,1.14828,0.94722,0.90565,0.93842,0.60572,1.2262,0.69289,1.16119,0.000533017,0.000533017,0.000533017
78,1037.6,1.12832,0.77863,1.16974,0.94342,0.89472,0.9316,0.5419,1.27614,0.70494,1.18365,0.000521228,0.000521228,0.000521228
79,1050.47,1.16454,0.81062,1.17887,0.94812,0.89467,0.93219,0.57499,1.23349,0.68965,1.16158,0.000509438,0.000509438,0.000509438
80,1063.58,1.09686,0.75332,1.15617,0.94164,0.90036,0.93844,0.59464,1.22893,0.6746,1.17217,0.000497649,0.000497649,0.000497649
81,1076.66,1.10544,0.75065,1.16158,0.9214,0.90694,0.93633,0.58258,1.21133,0.67586,1.14641,0.00048586,0.00048586,0.00048586
82,1089.46,1.08827,0.74542,1.14966,0.94677,0.90681,0.94784,0.58048,1.21961,0.66721,1.1575,0.000474071,0.000474071,0.000474071
83,1102.37,1.10185,0.75992,1.1454,0.94174,0.90734,0.94161,0.5932,1.26415,0.66909,1.17172,0.000462281,0.000462281,0.000462281
84,1115.32,1.10342,0.75517,1.15465,0.95113,0.89527,0.93705,0.57216,1.295,0.68823,1.18639,0.000450492,0.000450492,0.000450492
85,1128.26,1.08173,0.75554,1.15188,0.95052,0.90417,0.9437,0.59837,1.23956,0.65849,1.1653,0.000438703,0.000438703,0.000438703
86,1141.21,1.09638,0.78907,1.18277,0.95168,0.89945,0.94124,0.60406,1.20986,0.66071,1.14963,0.000426914,0.000426914,0.000426914
87,1154.17,1.07312,0.74083,1.14542,0.95295,0.8995,0.93782,0.59647,1.20589,0.66215,1.14236,0.000415124,0.000415124,0.000415124
88,1167.01,1.07152,0.74366,1.14826,0.94915,0.90724,0.94523,0.59378,1.18959,0.65307,1.13051,0.000403335,0.000403335,0.000403335
89,1180.04,1.07428,0.7395,1.138,0.94996,0.90502,0.94026,0.61123,1.18896,0.65899,1.15555,0.000391546,0.000391546,0.000391546
90,1193.17,1.0739,0.73791,1.13743,0.95386,0.90948,0.94348,0.59791,1.20769,0.6553,1.13535,0.000379757,0.000379757,0.000379757
91,1206.3,1.06511,0.73924,1.1487,0.94641,0.91663,0.9416,0.6108,1.20122,0.65796,1.13721,0.000367967,0.000367967,0.000367967
92,1219.25,1.04671,0.71764,1.11921,0.93521,0.91219,0.94364,0.58441,1.22487,0.652,1.13275,0.000356178,0.000356178,0.000356178
93,1232.26,1.08632,0.74611,1.16949,0.94222,0.90583,0.9432,0.60034,1.23298,0.65814,1.1547,0.000344389,0.000344389,0.000344389
94,1245.31,1.05692,0.70045,1.11196,0.932,0.92598,0.94546,0.5983,1.21366,0.64097,1.14685,0.0003326,0.0003326,0.0003326
95,1258.23,1.04416,0.7213,1.13931,0.9535,0.9032,0.94388,0.60384,1.1964,0.6351,1.14191,0.00032081,0.00032081,0.00032081
96,1271.28,1.04758,0.71057,1.11958,0.94411,0.91884,0.95173,0.6306,1.15089,0.62661,1.12196,0.000309021,0.000309021,0.000309021
97,1284.46,1.06243,0.69363,1.11822,0.94108,0.92535,0.94929,0.62441,1.16586,0.61651,1.13273,0.000297232,0.000297232,0.000297232
98,1297.42,1.01506,0.67663,1.10619,0.9611,0.90507,0.94964,0.61834,1.1899,0.61615,1.13872,0.000285443,0.000285443,0.000285443
99,1310.5,1.00954,0.68994,1.10537,0.94765,0.91231,0.94619,0.61106,1.14613,0.62052,1.11386,0.000273654,0.000273654,0.000273654
100,1323.5,1.03856,0.68398,1.10955,0.95812,0.90336,0.94736,0.60785,1.18559,0.60255,1.13843,0.000261864,0.000261864,0.000261864
101,1336.67,1.03492,0.69901,1.1203,0.95708,0.90399,0.9471,0.64107,1.15533,0.60125,1.12092,0.000250075,0.000250075,0.000250075
102,1349.72,1.01519,0.67267,1.09723,0.9527,0.91489,0.94973,0.62394,1.19516,0.61142,1.13269,0.000238286,0.000238286,0.000238286
103,1362.84,1.02943,0.68264,1.12249,0.94659,0.9211,0.94695,0.59762,1.18278,0.6037,1.12784,0.000226497,0.000226497,0.000226497
104,1375.76,1.02457,0.66642,1.11533,0.95434,0.91715,0.94945,0.62435,1.16088,0.5942,1.11919,0.000214707,0.000214707,0.000214707
105,1388.95,1.01624,0.67146,1.10874,0.95105,0.91782,0.95126,0.61651,1.15244,0.60544,1.11218,0.000202918,0.000202918,0.000202918
106,1404.26,1.01093,0.6081,1.12293,0.95636,0.91118,0.95057,0.628,1.1706,0.59832,1.1331,0.000191129,0.000191129,0.000191129
107,1417.05,1.00833,0.58514,1.12487,0.95229,0.91834,0.94797,0.64788,1.13258,0.58755,1.11129,0.00017934,0.00017934,0.00017934
108,1429.83,0.97105,0.5397,1.09127,0.94919,0.92007,0.95109,0.61809,1.15002,0.5886,1.11485,0.00016755,0.00016755,0.00016755
109,1442.62,0.95061,0.55423,1.10414,0.95128,0.91825,0.95064,0.65891,1.09996,0.58021,1.10123,0.000155761,0.000155761,0.000155761
110,1455.5,0.94857,0.54867,1.09539,0.95325,0.92151,0.95079,0.64527,1.13767,0.58447,1.10127,0.000143972,0.000143972,0.000143972
111,1468.1,0.98027,0.55731,1.09299,0.94671,0.92082,0.95278,0.62816,1.11601,0.5851,1.09985,0.000132183,0.000132183,0.000132183
112,1480.85,0.94153,0.52902,1.07497,0.94938,0.91759,0.95332,0.64853,1.11511,0.58168,1.10765,0.000120393,0.000120393,0.000120393
113,1493.66,0.93465,0.52208,1.07655,0.9463,0.92109,0.95407,0.64722,1.11996,0.57203,1.10274,0.000108604,0.000108604,0.000108604
114,1506.5,0.94623,0.53464,1.10753,0.94617,0.92771,0.95097,0.63398,1.13308,0.58043,1.1076,9.68148e-05,9.68148e-05,9.68148e-05
115,1519.18,0.94625,0.53869,1.10873,0.94927,0.91705,0.95141,0.64476,1.09963,0.57811,1.09969,8.50255e-05,8.50255e-05,8.50255e-05
116,1532.03,0.94343,0.53306,1.06937,0.95004,0.91449,0.95009,0.64324,1.11144,0.57938,1.10143,7.32362e-05,7.32362e-05,7.32362e-05
117,1544.86,0.9205,0.51939,1.06148,0.96054,0.90285,0.948,0.64798,1.10133,0.57567,1.09918,6.1447e-05,6.1447e-05,6.1447e-05
118,1557.7,0.92325,0.52665,1.07542,0.94869,0.91473,0.95084,0.65091,1.1129,0.57465,1.1022,4.96578e-05,4.96578e-05,4.96578e-05
119,1570.37,0.9218,0.5116,1.05119,0.9573,0.90842,0.95147,0.64567,1.09369,0.56944,1.09604,3.78685e-05,3.78685e-05,3.78685e-05
120,1583.19,0.94842,0.53774,1.08495,0.94287,0.92123,0.94903,0.64443,1.09922,0.56874,1.09608,2.60792e-05,2.60792e-05,2.60792e-05
